District,Sum of Intensity Score
Yuen Long,298.83401758901323
Southern,298.7358422834476
Yau Tsim Mong,241.2066323312213
Kowloon City,240.311969481046
Tsuen Wan,188.69172401922953
Sai Kung,182.91595253825952
Tai Po,182.82273877430885
Islands,157.7380352853214
Sham Shui Po,126.14165133592286
Wong Tai Sin,125.41047287829218
Kwun Tong,124.09561306925308
Eastern,115.96770449569436
Wan Chai,113.18425900164908
Kwai Tsing,112.6171097095393
Sha Tin,108.27809882927491
Tuen Mun,98.764916781577
North,95.19086420146907
