District,Sum of Relative_Heat_Stress
Islands,0.1460537363752976
Tai Po,0.07523569496885138
Yuen Long,0.06111125104069801
Sai Kung,0.04738755247105169
Southern,0.04419169264548042
North,0.03792464709221875
Tsuen Wan,0.03766301876631328
Tuen Mun,0.01570189455986916
Sha Tin,0.010574033088796378
Wan Chai,0.007274052635067422
Kowloon City,0.0057463407336452894
Yau Tsim Mong,0.005543705638501983
Kwai Tsing,0.005250214904873627
Eastern,0.004018284979060789
Wong Tai Sin,0.002841197844999823
Sham Shui Po,0.0026850074784147055
Kwun Tong,0.002093380787268102
