District,Sum of Urban_Heat_Delta
Sai Kung,1.6666666666666643
Tsuen Wan,1.6666666666666643
Southern,0.9999999999999964
Islands,0.6666666666666643
Kowloon City,0.6666666666666643
Yau Tsim Mong,0.6666666666666643
Eastern,0.33333333333333215
Kwai Tsing,0.33333333333333215
Kwun Tong,0.33333333333333215
Tuen Mun,0.33333333333333215
Sha Tin,-0.6666666666666679
Sham Shui Po,-0.6666666666666679
Wan Chai,-0.6666666666666679
Wong Tai Sin,-0.6666666666666679
Tai Po,-1.3333333333333357
North,-1.6666666666666679
Yuen Long,-2.0000000000000036
